Date,Open,High,Low,Close ,Adj Close ,Volume
Mar 28, 2024,0.4200,0.4600,0.4200,0.4500,0.4500,33,100
Mar 27, 2024,0.4400,0.4600,0.4200,0.4200,0.4200,64,900
Mar 26, 2024,0.4500,0.4700,0.4100,0.4300,0.4300,73,900
Mar 25, 2024,0.4700,0.4900,0.4500,0.4500,0.4500,79,700
Mar 22, 2024,0.4700,0.4800,0.4600,0.4700,0.4700,19,400
Mar 21, 2024,0.4800,0.4900,0.4600,0.4600,0.4600,44,800
Mar 20, 2024,0.4700,0.5000,0.4700,0.4800,0.4800,15,900
Mar 19, 2024,0.5000,0.5200,0.4700,0.4900,0.4900,27,600
Mar 18, 2024,0.4800,0.5400,0.4500,0.5200,0.5200,116,700
Mar 15, 2024,0.5000,0.5100,0.4900,0.5000,0.5000,27,700
Mar 14, 2024,0.5000,0.5100,0.4900,0.5100,0.5100,64,100
Mar 13, 2024,0.5000,0.5100,0.4700,0.5000,0.5000,54,400
Mar 12, 2024,0.5000,0.5100,0.4800,0.4900,0.4900,39,700
Mar 11, 2024,0.5000,0.5100,0.4700,0.5000,0.5000,57,700
Mar 8, 2024,0.4900,0.5200,0.4800,0.4900,0.4900,80,500
Mar 7, 2024,0.5000,0.5400,0.4900,0.5200,0.5200,120,500
Mar 6, 2024,0.5300,0.5300,0.4700,0.4800,0.4800,163,700
Mar 5, 2024,0.4600,0.5200,0.4500,0.5200,0.5200,1,047,900
Mar 4, 2024,0.4600,0.4800,0.4500,0.4700,0.4700,148,500
Mar 1, 2024,0.4700,0.4900,0.4700,0.4700,0.4700,89,500
Feb 29, 2024,0.4800,0.4900,0.4800,0.4800,0.4800,27,500
Feb 28, 2024,0.4800,0.5000,0.4800,0.5000,0.5000,42,600
Feb 27, 2024,0.4900,0.5100,0.4700,0.4900,0.4900,80,000
Feb 26, 2024,0.4900,0.5200,0.4800,0.5100,0.5100,38,400
Feb 23, 2024,0.5000,0.5100,0.5000,0.5000,0.5000,22,100
Feb 22, 2024,0.5000,0.5200,0.4900,0.5100,0.5100,66,200
Feb 21, 2024,0.5400,0.5400,0.4900,0.5300,0.5300,30,000
Feb 20, 2024,0.5000,0.5300,0.5000,0.5300,0.5300,18,100
Feb 16, 2024,0.5200,0.5300,0.5200,0.5200,0.5200,11,500
Feb 15, 2024,0.5200,0.5400,0.5100,0.5300,0.5300,30,600
Feb 14, 2024,0.5100,0.5400,0.5100,0.5400,0.5400,42,400
Feb 13, 2024,0.5100,0.5300,0.5100,0.5200,0.5200,23,200
Feb 12, 2024,0.5200,0.5300,0.5200,0.5300,0.5300,27,900
Feb 9, 2024,0.5200,0.5200,0.5100,0.5200,0.5200,41,800
Feb 8, 2024,0.5200,0.5400,0.5100,0.5200,0.5200,52,200
Feb 7, 2024,0.5100,0.5400,0.5100,0.5100,0.5100,39,000
Feb 6, 2024,0.5200,0.5200,0.5100,0.5200,0.5200,33,300
Feb 5, 2024,0.5300,0.5400,0.5100,0.5200,0.5200,80,400
Feb 2, 2024,0.5300,0.5400,0.5300,0.5300,0.5300,23,300
Feb 1, 2024,0.5400,0.5400,0.5300,0.5300,0.5300,30,900
Jan 31, 2024,0.5100,0.5800,0.5100,0.5300,0.5300,41,600
Jan 30, 2024,0.5400,0.5600,0.5300,0.5300,0.5300,29,300
Jan 29, 2024,0.5400,0.5700,0.5400,0.5500,0.5500,28,600
Jan 26, 2024,0.5300,0.5700,0.5300,0.5600,0.5600,33,100
Jan 25, 2024,0.5500,0.5900,0.5500,0.5700,0.5700,13,400
Jan 24, 2024,0.5700,0.5900,0.5700,0.5700,0.5700,20,400
Jan 23, 2024,0.5900,0.6000,0.5600,0.5900,0.5900,28,800
Jan 22, 2024,0.6100,0.6100,0.5600,0.5900,0.5900,34,400
Jan 19, 2024,0.5800,0.6000,0.5600,0.5800,0.5800,61,200
Jan 18, 2024,0.5800,0.6000,0.5600,0.6000,0.6000,61,600
Jan 17, 2024,0.5700,0.5900,0.5500,0.5900,0.5900,68,300
Jan 16, 2024,0.5900,0.5900,0.5500,0.5800,0.5800,110,900
Jan 12, 2024,0.5500,0.5800,0.5500,0.5700,0.5700,46,600
Jan 11, 2024,0.5500,0.5600,0.5500,0.5500,0.5500,18,000
Jan 10, 2024,0.5900,0.5900,0.5600,0.5600,0.5600,40,200
Jan 9, 2024,0.5900,0.5900,0.5100,0.5900,0.5900,64,200
Jan 8, 2024,0.5900,0.6100,0.5600,0.5700,0.5700,80,100
Jan 5, 2024,0.5600,0.6100,0.5600,0.6100,0.6100,255,800
Jan 4, 2024,0.5900,0.6100,0.5500,0.6000,0.6000,36,700
Jan 3, 2024,0.5600,0.6300,0.5600,0.5800,0.5800,30,000
Jan 2, 2024,0.5500,0.5800,0.5500,0.5700,0.5700,18,600
Dec 29, 2023,0.5600,0.5900,0.5600,0.5600,0.5600,71,000
Dec 28, 2023,0.5700,0.6000,0.5700,0.5700,0.5700,38,300
Dec 27, 2023,0.5800,0.6000,0.5700,0.5900,0.5900,107,300
Dec 26, 2023,0.5900,0.6200,0.5900,0.6000,0.6000,48,900
Dec 22, 2023,0.5900,0.6500,0.5900,0.6100,0.6100,24,000
Dec 21, 2023,0.5900,0.6100,0.5900,0.6100,0.6100,44,500
Dec 20, 2023,0.5900,0.6100,0.5700,0.5900,0.5900,40,600
