Date,Open,High,Low,Close ,Adj Close ,Volume
Mar 28, 2024,444.78,445.64,443.65,444.01,444.01,36,839,600
Mar 27, 2024,446.44,446.54,441.93,444.83,444.83,41,359,200
Mar 26, 2024,446.30,447.23,443.09,443.32,443.32,34,142,000
Mar 25, 2024,443.55,446.26,442.54,444.76,444.76,27,789,200
Mar 22, 2024,445.35,447.49,444.49,446.38,446.38,28,229,300
Mar 21, 2024,448.88,449.34,445.67,445.87,445.87,39,345,700
Mar 20, 2024,439.78,444.11,438.06,443.77,443.77,43,653,500
Mar 19, 2024,435.45,438.98,433.33,438.57,438.57,43,004,100
Mar 18, 2024,0.57 Dividend
Mar 18, 2024,438.73,441.04,437.24,437.48,437.48,47,323,800
Mar 15, 2024,436.07,438.87,432.74,433.92,433.35,73,038,800
Mar 14, 2024,441.50,442.03,436.39,439.14,438.56,52,195,200
Mar 13, 2024,442.65,442.67,439.12,440.25,439.67,37,928,700
Mar 12, 2024,439.73,444.02,436.46,443.66,443.07,55,300,900
Mar 11, 2024,437.51,438.66,435.44,437.39,436.81,45,860,000
Mar 8, 2024,445.81,448.64,438.34,439.02,438.44,71,954,300
Mar 7, 2024,442.42,446.72,440.86,445.45,444.86,44,526,700
Mar 6, 2024,440.32,441.99,436.89,438.79,438.21,46,234,500
Mar 5, 2024,440.94,440.95,433.65,436.05,435.47,57,917,100
Mar 4, 2024,445.61,446.04,443.77,444.02,443.43,34,325,700
Mar 1, 2024,439.90,446.58,439.84,445.61,445.02,43,809,200
Feb 29, 2024,438.23,440.09,435.02,439.00,438.42,42,495,200
Feb 28, 2024,435.43,436.67,434.30,435.27,434.70,32,938,800
Feb 27, 2024,437.67,437.99,435.03,437.60,437.02,33,713,200
Feb 26, 2024,437.60,438.60,436.36,436.55,435.97,33,043,200
Feb 23, 2024,439.65,440.59,435.79,436.78,436.20,39,853,900
Feb 22, 2024,434.49,439.12,433.71,438.07,437.49,53,887,800
Feb 21, 2024,424.55,425.70,421.63,425.61,425.05,50,179,700
Feb 20, 2024,428.55,430.08,423.50,427.32,426.76,53,999,500
Feb 16, 2024,434.89,434.99,429.85,430.57,430.00,53,661,500
Feb 15, 2024,433.92,434.98,431.33,434.51,433.94,38,796,100
Feb 14, 2024,431.26,433.65,428.88,433.22,432.65,45,092,700
Feb 13, 2024,427.28,431.27,425.33,428.55,427.98,64,491,700
Feb 12, 2024,436.94,439.14,434.65,435.34,434.77,33,203,300
Feb 9, 2024,433.94,437.85,433.14,437.05,436.47,36,943,900
Feb 8, 2024,432.11,433.56,431.42,432.79,432.22,29,889,900
Feb 7, 2024,430.41,432.83,429.09,431.99,431.42,37,712,700
Feb 6, 2024,429.61,430.22,425.22,427.59,427.03,35,846,100
Feb 5, 2024,429.07,429.61,425.00,428.45,427.88,39,889,200
Feb 2, 2024,423.80,430.24,422.79,429.01,428.44,59,582,300
Feb 1, 2024,418.79,422.38,417.81,421.88,421.32,51,008,600
Jan 31, 2024,420.85,422.87,416.79,416.97,416.42,64,010,600
Jan 30, 2024,427.10,427.68,424.38,425.30,424.74,36,739,000
Jan 29, 2024,424.27,428.35,423.61,428.15,427.58,38,694,700
Jan 26, 2024,424.44,426.21,423.15,423.81,423.25,37,137,000
Jan 25, 2024,428.36,429.04,423.98,426.35,425.79,44,367,200
Jan 24, 2024,427.44,429.85,425.33,425.83,425.27,46,948,000
Jan 23, 2024,422.43,423.70,420.57,423.48,422.92,33,003,800
Jan 22, 2024,423.41,424.73,421.12,421.73,421.17,44,880,600
Jan 19, 2024,415.22,421.34,414.63,421.18,420.62,70,268,500
Jan 18, 2024,410.52,413.58,409.16,412.99,412.44,59,562,500
Jan 17, 2024,406.17,407.59,402.92,407.21,406.67,54,386,000
Jan 16, 2024,408.31,411.12,406.83,409.52,408.98,43,903,000
Jan 12, 2024,410.40,411.25,408.15,409.56,409.02,39,581,400
Jan 11, 2024,409.79,411.20,404.24,409.35,408.81,54,536,200
Jan 10, 2024,406.07,409.52,405.17,408.50,407.96,33,962,800
Jan 9, 2024,401.91,406.69,401.71,405.75,405.21,39,132,900
Jan 8, 2024,397.99,405.24,397.84,404.95,404.42,42,473,800
Jan 5, 2024,396.45,399.56,395.34,396.75,396.23,44,867,900
Jan 4, 2024,396.44,399.59,396.06,396.28,395.76,39,432,800
Jan 3, 2024,399.93,401.00,397.89,398.33,397.80,47,002,800
Jan 2, 2024,405.84,406.09,400.24,402.59,402.06,58,026,900
Dec 29, 2023,411.28,411.64,407.58,409.52,408.98,42,633,400
Dec 28, 2023,412.67,412.92,410.94,411.30,410.76,27,029,200
Dec 27, 2023,0.22 Dividend
Dec 27, 2023,410.95,411.79,410.08,411.50,410.96,31,980,500
Dec 26, 2023,409.25,411.56,409.15,410.88,410.12,22,722,500
Dec 22, 2023,409.00,409.97,406.48,408.38,407.63,34,292,400
Dec 21, 2023,407.06,408.14,404.47,407.77,407.02,45,568,900
Dec 20, 2023,408.35,410.47,402.90,403.08,402.34,54,042,400
Dec 19, 2023,407.54,409.28,407.35,409.16,408.40,35,711,900
Dec 18, 2023,0.81 Dividend
